data,normed data
0.25,0.162428956
0,0.13941789
0.32,0.16934031
0.34,0.17135325
0.78,0.220019873
0.39,0.17646045
0.35,0.172366125
0.31,0.168340235
0.27,0.164382435
0.28,0.165365521
0.53,0.191333869
0.24,0.161458551
0.7,0.210541994
0.82,0.224864402
1.16,0.268877039
0.63,0.202479517
1.49,0.316350564
1.68,0.345708378
1.73,0.35366768
1.66,0.342551392
1.59,0.331624216
1.56,0.327000126
0.2,0.157619016
0.49,0.186997687
0.43,0.180623527
0.15,0.152913805
0.61,0.200215415
0.37,0.174404713
0.46,0.183791131
0.26,0.163403582
0.83,0.226086536
0.65,0.204761145
1.62,0.336283846
1.91,0.383086187
1.89,0.379760106
2.61,0.507053569
0.95,0.241095185
1.41,0.304423479
1.51,0.31937315
1.47,0.313344224
1.43,0.307380604
1.44,0.308865352
1.45,0.310354211
1.46,0.311847172
0.16,0.153846509
0.81,0.223646668
1.35,0.295651719
2.45,0.477610451
2.07,0.410182354
1.38,0.300018855
5.55,0.971098546
5.57,0.972557633
6.01,0.99523572
5.8,0.986694015
6.18,0.999017249
6.14,0.998382147
6.74,0.991389192
7.86,0.889800593
7.9,0.884345989
8.21,0.838691987
8.56,0.781026372
8.93,0.714917971
9.2,0.664549313
9.49,0.609495033
9.11,0.681475842
9.12,0.679600832
9.61,0.586645472
9.57,0.594258952
9.78,0.554384626
10.25,0.467149511
10.38,0.4438326
10.39,0.442057439
10.35,0.449174392
10.5,0.422717837
10.6,0.405451517
10.41,0.438515413
10.52,0.419239803
10.42,0.436748596
10.51,0.420977304
10.54,0.415773985
10.53,0.417505356
10.32,0.454540131
10.33,0.452748932
10.63,0.400333487
10.43,0.434984608
10.55,0.41404571
10.72,0.385158609
10.62,0.402036243
10.61,0.40374226
10.58,0.408879675
10.48,0.426207912
10.24,0.468960683
9.4,0.626630124
8.06,0.861499478
8.07,0.860019234
6.83,0.987316588
7.3,0.953858779
7.26,0.957473266
7.25,0.958355397
8.33,0.819571104
8.53,0.786181835
8.68,0.760065481
9.08,0.68709131
9.05,0.692691567
9.56,0.596163013
9.65,0.579038161
9.54,0.599971705
10.12,0.490872589
10.08,0.498244497
10.65,0.396937836
10.64,0.398634012
10.46,0.42970985
10.47,0.427957409
10.79,0.37354838
10.37,0.445610496
8.87,0.725910523
7.78,0.900384625
6.49,0.998596162
6.11,0.997802758
6.1,0.997590027
6.48,0.998757475
7.08,0.972008861
6.92,0.982475592
6.21,0.999390349
6.68,0.993672517
6.95,0.980693106
7.52,0.931590382
6.99,0.978186424
7.36,0.948182051
7.65,0.916618127
7.83,0.893821054
8.04,0.864442039
7.69,0.911754106
8.35,0.816314231
8.46,0.798068465
8.19,0.841805661
8.39,0.809743427
8.62,0.770611431
8.38,0.811393156
9.18,0.668320193
8.83,0.733188007
9.32,0.641834751
9.23,0.658884114
9.58,0.592355131
9.7,0.569541205
9.69,0.571439324
9.9,0.531772982
9.24,0.656993508
8.22,0.837127088
8.25,0.832400634
8.54,0.784467313
8.92,0.716756106
9.31,0.64373252
9.42,0.622824159
9.75,0.560061913
10.09,0.496398548
10.19,0.478051696
8.72,0.752966623
8.3,0.824419815
7.85,0.891147521
5.54,0.970355469
7.09,0.971276984
6.86,0.985787769
7.45,0.939104896
6.73,0.991793833
6.32,0.999999928
6.29,0.999951972
7.15,0.966697057
7.04,0.974845747
7.63,0.919005479
7.24,0.959228882
7.44,0.940146248
6.42,0.999518883
5.12,0.931323673
6.76,0.990551097
7.76,0.902961193
8.97,0.707542671
8.91,0.71859188
9.68,0.573338114
9.34,0.638037105
9.38,0.630434478
8.75,0.747608605
6.58,0.996703096
6.2,0.999275822
6.08,0.997135199
6.35,0.99995913
6.38,0.999829588
5.07,0.925709568
7.29,0.954775243
7.48,0.935932375
7.68,0.912981192
7.55,0.928250988
6.91,0.983051084
2.15,0.424039244
2.68,0.520086197
2.11,0.417086157
2.23,0.438087662
2.71,0.525695884
3.11,0.601415433
4.33,0.822417904
5.18,0.937800313
5.25,0.944989216
6.07,0.996893116
6.27,0.999870698
6.26,0.999815274
